Year,Film,Budget,Gross,Review in iMDb,,,
2005,Batman Begins,150000000,374200000,8.2,,,
2006,Superman Returns,204000000,391100000,6.1,,,
2008,The Dark Knight,185000000,1005000000,9,,,
2009,Watchmen,130000000,185300000,7.6,,,
2010,Jonah Hex,47000000,10900000,4.7,,,
2011,Green Lantern,200000000,219900000,5.5,,,
2012,The Dark Knight Rises,230000000,1085000000,8.4,,,
2013,Man of Steel,225000000,668000000,7.1,,,
2016,Batman v Superman: Dawn of Justice,250000000,873600000,6.5,,,
2016,Suicide Squad,175000000,746800000,6,,,
2017,The Lego Batman Movie,80000000,310700000,7.3,,,
2017,Wonder Woman,150000000,821800000,7.5,,,
2017,Justice League,300000000,657900000,6.5,,,
2018,Teen Titans Go! To the Movies,10000000,51900000,6.8,,,
2018,Aquaman,160000000,1147000000,7.1,,,
2019,Shazam!,100000000,364100000,7.2,,,
2010,Baseline,391100000,47000000,5,,,
