Series,Film,U.S. release date,World wide ticket box,Budget,Rank in iMDb,,,
Iron Man,Iron Man,"May 2, 2008",585174222,140000000,7.9,,,
Hulk,The Incredible Hulk,"June 13, 2008",263427551,150000000,6.7,,,
Iron Man,Iron Man 2,"May 7, 2010",623933331,200000000,7,,,
Thor,Thor,"May 6, 2011",449326618,150000000,7,,,
Captain America,Captain America: The First Avenger,"July 22, 2011",370569774,140000000,6.9,,,
Avengers,Marvel's The Avengers,"May 4, 2012",1518812988,220000000,8.1,,,
Iron Man,Iron Man 3,"May 3, 2013",1214811252,178400000,7.2,,,
Thor,Thor: The Dark World,"November 8, 2013",644571402,152700000,6.9,,,
Captain America,Captain America: The Winter Soldier,"April 4, 2014",714264267,177000000,7.8,,,
Guardians of the Galaxy,Guardians of the Galaxy,"August 1, 2014",773328629,195900000,8.1,,,
Avengers,Avengers: Age of Ultron,"May 1, 2015",1405403694,365500000,7.3,,,
Ant-Man,Ant-Man,"July 17, 2015",519311965,109300000,7.3,,,
Captain America,Captain America: Civil War,"May 6, 2016",1153304495,230000000,7.8,,,
,Doctor Strange,"November 4, 2016",677718395,236600000,7.5,,,
Guardians of the Galaxy,Guardians of the Galaxy Vol. 2,"May 5, 2017",863756051,200000000,7.7,,,
Spider-Man,Spider-Man: Homecoming,"July 7, 2017",880166924,175000000,7.5,,,
Thor,Thor: Ragnarok,"November 3, 2017",853977126,180000000,7.9,,,
Black Panther,Black Panther,"February 16, 2018",1346913161,210000000,7.3,,,
Avengers,Avengers: Infinity War,"April 27, 2018",2048359754,400000000,8.5,,,
Ant-Man,Ant-Man and the Wasp,"July 6, 2018",622674139,162000000,7.1,,,
Captain Marvel,Captain Marvel,"March 8, 2019",1128274794,175000000,7,,,
Avengers,Avengers: Endgame,"April 26, 2019",2782617193,356000000,8.7,,,
Spider-Man,Spider-Man: Far From Home,"July 2, 2019",868542591,160000000,8,,,
