Country,Monthly Salary,Continent,Population,,,,,,,,,
Afghanistan,47,Asia,31575018,,,,,,,,,
Albania,360,Europe,243206,,,,,,,,,
Argentina,1086,South America,44494502,,,,,,,,,
Australia,4280,Pacific Ocean,25429272,,,,,,,,,
Austria,3780,Europe,8869537,,,,,,,,,
Bangladesh,123,Asia,166892282,,,,,,,,,
Belgium,3504,Europe,11473875,,,,,,,,,
Bermuda,8845,Europe,63779,,,,,,,,,
Bolivia,261,South America,11307314,,,,,,,,,
Bosnia and Herzegovina,409,Europe,3511372,,,,,,,,,
Brazil,718,South America,210167550,,,,,,,,,
Bulgaria,655,Europe,7000039,,,,,,,,,
Canada,3566,North America,37547299,,,,,,,,,
Chile,1134,South America,17373831,,,,,,,,,
China,724,Asia,1398211400,,,,,,,,,
Colombia,491,South America,45855600,,,,,,,,,
Costa Rica,927,Europe,5058007,,,,,,,,,
Croatia,1048,Europe,4105493,,,,,,,,,
Cuba,596,North America,11221060,,,,,,,,,
Czechia,1497,Europe,10652812,,,,,,,,,
Democratic Republic of the Congo,38,Africa,86790567,,,,,,,,,
Denmark,4611,Europe,5806081,,,,,,,,,
Ecuador,493,South America,17278936,,,,,,,,,
Egypt,251,Africa,98967316,,,,,,,,,
Equatorial Guinea,588,Africa,1222442,,,,,,,,,
Ethiopia,62,Africa,107534882,,,,,,,,,
Finland,3730,Europe,5521773,,,,,,,,,
France,3180,Europe,67009000,,,,,,,,,
Germany,3642,Europe,83019200,,,,,,,,,
Greece,1528,Europe,10741165,,,,,,,,,
Hong Kong,3859,Asia,7482500,,,,,,,,,
Hungary,1077,Europe,9764000,,,,,,,,,
Iceland,5042,Europe,357050,,,,,,,,,
India,149,Asia,1349704850,,,,,,,,,
Indonesia,295,Asia,268074600,,,,,,,,,
Iran,453,Asia,82613547,,,,,,,,,
Ireland,4448,Europe,4857000,,,,,,,,,
Israel,3120,Asia,9058300,,,,,,,,,
Italy,2598,Europe,60375749,,,,,,,,,
Japan,3210,Asia,126200000,,,,,,,,,
Kenya,122,Africa,52950879,,,,,,,,,
Liechtenstein,9692,Europe,38380,,,,,,,,,
Luxembourg,5899,Europe,613894,,,,,,,,,
Macao,6004,Asia,667400,,,,,,,,,
Madagascar,33,Africa,26262810,,,,,,,,,
Malaysia,804,Asia,32800454,,,,,,,,,
Mexico,718,North America,125327797,,,,,,,,,
Monaco,15507,Europe,38300,,,,,,,,,
Morocco,238,Africa,35077348,,,,,,,,,
Mozambique,35,Africa,28861863,,,,,,,,,
Netherlands,3909,Europe,17331408,,,,,,,,,
New Zealand,3232,Pacific Ocean,4972199,,,,,,,,,
Nigeria	,175,Africa,200962000,,,,,,,,,
Norway,6347,Europe,5328212,,,,,,,,,
Pakistan,132,Asia,205326217,,,,,,,,,
Peru,497,South America,32162184,,,,,,,,,
Philippines	,305,Asia,107929080,,,,,,,,,
Poland,1061,Europe,38413000,,,,,,,,,
Portugal,1661,Europe,10276617,,,,,,,,,
Romania,833,Europe,19524000,,,,,,,,,
Russia,768,Asia Europe,146877088,,,,,,,,,
Serbia,432,Europe,6901188,,,,,,,,,
Singapore,4544,Asia,5638700,,,,,,,,,
South Africa,453,Africa,57725600,,,,,,,,,
South Korea,2365,Asia,51811167,,,,,,,,,
Spain,2263,Europe,46733038,,,,,,,,,
Sri Lanka,321,Asia,21670000,,,,,,,,,
Sweden,4356,Europe,10291305,,,,,,,,,
Switzerland,6761,Europe,8555541,,,,,,,,,
Thailand,496,Asia,69183173,,,,,,,,,
Turkey,912,Asia Europe,82003882,,,,,,,,,
Ukraine,199,Europe,42055934,,,,,,,,,
United Arab Emirates,3261,Asia,9541615,,,,,,,,,
United Kingdom,3383,Europe,66435600,,,,,,,,,
United States,4930,North America,329543849,,,,,,,,,
Venezuela,1065,South America,31828110,,,,,,,,,
Vietnam,180,Asia,94660000,,,,,,,,,
